Program,Threads,CommandIndex,Command,Run,Output
minizpar,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,9,$'# elapsed time (parallel_miniz): 13.0639s\nExiting with Success'
minizpar,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,9,$'# elapsed time (parallel_miniz): 52.293s\nExiting with Success'
minizpar,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,9,$'# elapsed time (parallel_miniz): 7.83342s\nExiting with Success'
minizpar,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,9,$'# elapsed time (parallel_miniz): 37.9022s\nExiting with Success'
minizpar,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,9,$'# elapsed time (parallel_miniz): 6.2001s\nExiting with Success'
minizpar,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,10,$'# elapsed time (parallel_miniz): 32.7049s\nExiting with Success'
minizpar,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,10,$'# elapsed time (parallel_miniz): 9.1437s\nExiting with Success'
minizpar,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,10,$'# elapsed time (parallel_miniz): 101.778s\nExiting with Success'
minizpar,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,10,$'# elapsed time (parallel_miniz): 10.1939s\nExiting with Success'
minizpar,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,10,$'# elapsed time (parallel_miniz): 38.0948s\nExiting with Success'
minizpar,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,10,$'# elapsed time (parallel_miniz): 12.0669s\nExiting with Success'
minizpar,2,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,1,$'# elapsed time (parallel_miniz): 16.6815s\nExiting with Success'
minizpar,2,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,1,$'# elapsed time (parallel_miniz): 9.62541s\nExiting with Success'
minizpar,2,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,1,$'# elapsed time (parallel_miniz): 26.4501s\nExiting with Success'
minizpar,2,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,1,$'# elapsed time (parallel_miniz): 7.09716s\nExiting with Success'
minizpar,2,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,1,$'# elapsed time (parallel_miniz): 16.5706s\nExiting with Success'
minizpar,2,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,1,$'# elapsed time (parallel_miniz): 1.18289s\nExiting with Success'
minizpar,2,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,2,$'# elapsed time (parallel_miniz): 16.0025s\nExiting with Success'
minizpar,2,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,2,$'# elapsed time (parallel_miniz): 2.7405s\nExiting with Success'
minizpar,2,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,2,$'# elapsed time (parallel_miniz): 29.2575s\nExiting with Success'
minizpar,2,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,2,$'# elapsed time (parallel_miniz): 9.27555s\nExiting with Success'
minizpar,2,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,2,$'# elapsed time (parallel_miniz): 18.9913s\nExiting with Success'
minizpar,2,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,2,$'# elapsed time (parallel_miniz): 1.64857s\nExiting with Success'
minizpar,2,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,3,$'# elapsed time (parallel_miniz): 15.1383s\nExiting with Success'
minizpar,2,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,3,$'# elapsed time (parallel_miniz): 2.32338s\nExiting with Success'
minizpar,2,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,3,$'# elapsed time (parallel_miniz): 28.9195s\nExiting with Success'
minizpar,2,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,3,$'# elapsed time (parallel_miniz): 2.93116s\nExiting with Success'
minizpar,2,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,3,$'# elapsed time (parallel_miniz): 19.0099s\nExiting with Success'
minizpar,2,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,3,$'# elapsed time (parallel_miniz): 3.68359s\nExiting with Success'
minizpar,2,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,4,$'# elapsed time (parallel_miniz): 15.2146s\nExiting with Success'
